source_type,source_link,code,name
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Faroese
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Fijian
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,fil,Filipino
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,fi,Finnish
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Finno-Ugrian
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Fon
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,fr,French
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Frisian
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Friulian
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Fula
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,gl,Galician
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Ganda
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Gayo
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Gbaya
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,ka,Georgian
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,de,German
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Gilbertese
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Gondi
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Gorontalo
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Gothic
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Grebo
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,el,Greek
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Guarani
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,gu,Gujarati
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Gwich'in
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Haida
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,ht,Haitian
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Hausa
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Hawaiian
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,he,Hebrew
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,iw,Hebrew
public library catalog,https://browse.nypl.org/iii/encore/home?lang=eng&suite=def&advancedSearch=true&searchString=,,Herero
